buyCost,lowerBuy,lowestIndex,findhigherBuy
2.5,683,4,7750
2.5,683,4,7750
2.5,683,4,7600
2.5,673,4,7500
2.5,673,4,7510
2.5,673,4,7510
2.5,673,4,7510
2.5,673,4,6623
2.5,673,4,6623
2.5,673,4,6623
2.5,22,4,5723
2.5,22,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,37,4,5723
2.5,1034,4,6726
2.5,1033,4,6727
2.5,1033,4,6727
2.5,1033,4,6727
2.5,963,4,6677
2.5,963,4,6677
2.0,497,3,7440
2.0,497,3,6790
2.0,497,3,6790
2.0,497,3,6790
2.0,543,3,6790
2.0,543,3,6790
2.0,543,3,6790
2.0,542,3,6690
2.0,542,3,6690
2.0,542,3,6690
2.0,328,3,6707
2.0,328,3,6707
2.0,323,3,4707
2.0,323,3,4707
2.0,323,3,4707
2.0,323,3,4707
2.0,323,3,4707
2.5,1963,4,2944
2.5,1963,4,2944
2.5,1963,4,2944
2.5,1963,4,2944
2.5,1963,4,2944
2.5,1983,4,2944
2.5,1783,4,2844
2.5,1783,4,2844
2.5,1783,4,2844
2.5,1783,4,2844
2.5,1783,4,2844
2.5,1740,4,2844
2.5,1740,4,2844
2.5,1740,4,2844
2.5,1737,4,2844
2.5,1737,4,2294
2.5,1737,4,2294
2.5,1737,4,2294
2.5,1737,4,2294
2.5,1737,4,2294
2.5,1721,4,2294
2.5,1721,4,2294
2.5,1721,4,2294
2.5,1716,4,2294
2.5,1716,4,2245
2.5,1716,4,2245
2.5,1716,4,2245
2.5,1715,4,2245
2.5,1610,4,2245
2.5,1610,4,2245
2.5,1607,4,2245
2.5,1587,4,2245
2.5,1587,4,2245
2.5,1587,4,2255
2.5,1577,4,2255
2.5,1577,4,2255
2.5,1577,4,2255
2.5,1577,4,2255
2.5,1577,4,2255
2.5,1469,4,2255
2.5,1469,4,2355
2.5,1469,4,2356
2.5,1469,4,2356
2.0,909,3,3724
2.0,909,3,3724
2.0,909,3,3724
2.0,909,3,3724
2.0,909,3,3724
2.0,909,3,3724
2.0,909,3,3724
2.0,1276,3,3728
2.0,1276,3,3728
2.0,1276,3,3728
2.0,1425,3,3723
2.0,1675,3,3723
2.0,1383,3,3015
2.0,1393,3,3015
2.0,1389,3,3015
2.0,1386,3,3015
2.0,1361,3,3015
2.0,1311,3,3015
2.0,1311,3,3015
2.0,1311,3,3020
2.0,1311,3,3020
2.0,1276,3,3020
2.0,1180,3,3020
2.0,1180,3,3020
2.0,1180,3,3020
2.0,1130,3,3020
2.0,1429,3,3020
2.0,1429,3,3020
2.0,1429,3,3020
2.0,1429,3,3020
2.0,1429,3,3020
2.0,1429,3,3020
2.0,1091,3,3850
2.0,1091,3,3850
2.0,1092,3,3850
2.0,1091,3,3850
2.0,1008,3,3850
2.0,1008,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1009,3,2830
2.0,1001,3,2530
2.0,2001,3,2530
2.0,2001,3,2530
2.0,1996,3,2530
2.0,1996,3,2530
2.0,1996,3,2530
2.0,1996,3,2530
2.0,1996,3,2530
2.0,1996,3,2530
2.0,1986,3,2530
2.0,1982,3,2530
2.0,1877,3,2545
2.0,1867,3,2695
2.0,1867,3,2695
2.0,1867,3,2695
2.0,1827,3,2703
2.0,1827,3,2703
2.0,1827,3,1903
2.0,1823,3,1903
2.0,1523,3,1903
2.0,1523,3,1903
2.0,1512,3,1903
2.0,1512,3,1903
2.0,1510,3,1903
2.0,1510,3,1903
2.0,1509,3,1903
2.0,1509,3,1903
2.0,1509,3,1903
2.0,1509,3,1903
2.0,1509,3,1903
2.0,1509,3,1903
2.0,1559,3,1903
2.0,1559,3,1903
2.0,1559,3,1903
2.0,1559,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1557,3,1903
2.0,1562,3,1913
2.0,1557,3,1913
2.0,1557,3,1913
2.0,1557,3,1913
2.0,1557,3,1913
2.0,1557,3,1913
2.0,1556,3,1913
2.0,1546,3,1913
2.0,1546,3,1913
2.0,1521,3,1913
2.0,1521,3,1913
2.0,1521,3,1913
2.0,1483,3,1913
2.0,1483,3,1913
2.0,1483,3,1913
2.0,1483,3,1913
2.0,1482,3,1913
2.0,1482,3,1913
2.0,1482,3,1898
2.0,1482,3,1898
2.0,1482,3,1898
2.0,1482,3,1898
2.0,1482,3,898
2.0,1482,3,898
2.0,1482,3,898
2.0,1472,3,898
2.0,1472,3,898
2.0,1472,3,903
2.0,1472,3,903
2.0,1462,3,903
2.0,1462,3,903
2.0,1492,3,903
2.0,1441,3,903
2.0,1441,3,903
2.0,1441,3,903
2.0,1441,3,903
2.0,1441,3,903
2.0,1341,3,903
2.0,1291,3,903
2.0,1288,3,903
2.0,1288,3,903
2.0,1285,3,903
2.0,1285,3,903
2.0,1265,3,903
2.0,1265,3,903
2.0,1265,3,903
2.0,1265,3,903
2.0,1253,3,903
2.0,1253,3,903
2.0,1253,3,903
2.0,617,3,903
2.0,617,3,903
2.0,617,3,903
2.0,617,3,903
2.0,617,3,903
2.0,617,3,903
2.0,617,3,903
2.0,517,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,522,3,903
2.0,516,3,903
2.0,516,3,903
2.0,511,3,903
2.0,511,3,903
2.0,511,3,903
2.0,511,3,903
2.0,486,3,903
2.0,486,3,903
2.0,486,3,903
2.0,586,3,903
2.0,586,3,903
2.0,586,3,903
2.0,585,3,903
2.0,585,3,903
2.0,585,3,903
2.0,534,3,1003
2.0,528,3,1003
2.0,528,3,1003
2.0,523,3,1003
2.0,523,3,1003
2.0,523,3,1003
2.0,523,3,1003
2.0,523,3,1003
2.0,523,3,1003
2.0,533,3,1003
2.0,532,3,1003
2.0,532,3,1003
2.0,529,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,519,3,1003
2.0,517,3,1003
2.0,514,3,1003
2.0,514,3,1003
2.0,513,3,1003
2.0,513,3,1003
2.0,513,3,1003
2.0,513,3,1003
2.0,513,3,1003
2.0,513,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,548,3,1003
2.0,547,3,1003
2.0,547,3,1003
2.0,547,3,1003
2.0,547,3,1008
2.0,547,3,1008
2.0,547,3,1008
2.0,547,3,1008
2.0,547,3,1008
2.0,547,3,1008
2.0,547,3,1008
2.0,497,3,1008
2.0,497,3,1008
2.0,497,3,1008
2.0,497,3,1008
2.0,497,3,1008
2.0,497,3,1008
2.0,492,3,1008
2.0,492,3,1008
2.0,492,3,1008
2.0,442,3,997
2.0,442,3,997
2.5,713,4,385
2.5,713,4,385
2.5,713,4,385
2.5,713,4,385
2.5,713,4,385
2.5,713,4,385
